ManifestOrdinal,StructuralInstanceID,PairedBaseID,DemandAssignmentID,BaseInstanceID,BaseInstanceFile,StructuralDraw,BatteryLevel,BatteryScale,DemandRegime,UncertaintyLevel,Theta,HouseholdProfiles,AssignmentSeed,DeterministicDataID,LegacyDefaultRepositoryInstanceSeed,ActualRepositoryGeneratorSeed,RepositoryInstanceID,RepositoryInstanceHorizon,RequiredPeriodSupportEnd,MaterializedDataEnd,BasePriceDigest,ExtendedPriceDigest,BasePVReferenceDigest,ExtendedPVReferenceDigest,BaseDemandActivityDigest,DemandActivityDigest,InstancePeriodLengthDelta,ResolvedSMin,ResolvedSMax,ResolvedSI,ResolvedFUnder,ResolvedFBar,Households,AvgDemand,DevDemand,PVScale
41,SI-Drahi_100-d2-HOM-ULO-BLO-186ade82fc,PB-Drahi_100-d2-HOM-ULO-14f976d7a4,DA-Drahi_100-HOM-d2-3bcff3e033,Drahi_100,codes/inst/inst2020/Drahi_100.csv,2,LOW_BATTERY,0.5,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,night;night;night;night;night,2130952365,DD-Drahi_100-d2-e9684baf61,806764659,1359059503,5_56,24,44,44,b96986714778585b,12412152a29fddf0,14a9421153c16293,55a8c77d0ca12b25,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
42,SI-Drahi_100-d2-HOM-ULO-BHI-54640e4a28,PB-Drahi_100-d2-HOM-ULO-14f976d7a4,DA-Drahi_100-HOM-d2-3bcff3e033,Drahi_100,codes/inst/inst2020/Drahi_100.csv,2,HIGH_BATTERY,2.0,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,night;night;night;night;night,2130952365,DD-Drahi_100-d2-e9684baf61,806764659,1359059503,5_56,24,44,44,b96986714778585b,12412152a29fddf0,14a9421153c16293,55a8c77d0ca12b25,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
43,SI-Drahi_100-d2-HOM-UHI-BLO-234c9220e7,PB-Drahi_100-d2-HOM-UHI-a94fc823b8,DA-Drahi_100-HOM-d2-3bcff3e033,Drahi_100,codes/inst/inst2020/Drahi_100.csv,2,LOW_BATTERY,0.5,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,night;night;night;night;night,2130952365,DD-Drahi_100-d2-e9684baf61,592861557,1359059503,5_56,24,44,44,b96986714778585b,12412152a29fddf0,14a9421153c16293,55a8c77d0ca12b25,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
44,SI-Drahi_100-d2-HOM-UHI-BHI-5a79f02aae,PB-Drahi_100-d2-HOM-UHI-a94fc823b8,DA-Drahi_100-HOM-d2-3bcff3e033,Drahi_100,codes/inst/inst2020/Drahi_100.csv,2,HIGH_BATTERY,2.0,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,night;night;night;night;night,2130952365,DD-Drahi_100-d2-e9684baf61,592861557,1359059503,5_56,24,44,44,b96986714778585b,12412152a29fddf0,14a9421153c16293,55a8c77d0ca12b25,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
45,SI-Drahi_100-d2-HET-ULO-BLO-1b4b0ed23f,PB-Drahi_100-d2-HET-ULO-db5953e270,DA-Drahi_100-HET-d2-3b7ce577b6,Drahi_100,codes/inst/inst2020/Drahi_100.csv,2,LOW_BATTERY,0.5,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,midday;morning;midday;night;night,1408783425,DD-Drahi_100-d2-e9684baf61,806764659,1359059503,5_56,24,44,44,b96986714778585b,12412152a29fddf0,14a9421153c16293,55a8c77d0ca12b25,22655d98b6deea49,b394f92cf7ec0ff4,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
46,SI-Drahi_100-d2-HET-ULO-BHI-e4cdb057f0,PB-Drahi_100-d2-HET-ULO-db5953e270,DA-Drahi_100-HET-d2-3b7ce577b6,Drahi_100,codes/inst/inst2020/Drahi_100.csv,2,HIGH_BATTERY,2.0,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,midday;morning;midday;night;night,1408783425,DD-Drahi_100-d2-e9684baf61,806764659,1359059503,5_56,24,44,44,b96986714778585b,12412152a29fddf0,14a9421153c16293,55a8c77d0ca12b25,22655d98b6deea49,b394f92cf7ec0ff4,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
47,SI-Drahi_100-d2-HET-UHI-BLO-a014872e1c,PB-Drahi_100-d2-HET-UHI-e5f7962216,DA-Drahi_100-HET-d2-3b7ce577b6,Drahi_100,codes/inst/inst2020/Drahi_100.csv,2,LOW_BATTERY,0.5,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,midday;morning;midday;night;night,1408783425,DD-Drahi_100-d2-e9684baf61,592861557,1359059503,5_56,24,44,44,b96986714778585b,12412152a29fddf0,14a9421153c16293,55a8c77d0ca12b25,22655d98b6deea49,b394f92cf7ec0ff4,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
48,SI-Drahi_100-d2-HET-UHI-BHI-47067ccef8,PB-Drahi_100-d2-HET-UHI-e5f7962216,DA-Drahi_100-HET-d2-3b7ce577b6,Drahi_100,codes/inst/inst2020/Drahi_100.csv,2,HIGH_BATTERY,2.0,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,midday;morning;midday;night;night,1408783425,DD-Drahi_100-d2-e9684baf61,592861557,1359059503,5_56,24,44,44,b96986714778585b,12412152a29fddf0,14a9421153c16293,55a8c77d0ca12b25,22655d98b6deea49,b394f92cf7ec0ff4,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
49,SI-Drahi_11-d1-HOM-ULO-BLO-6ecbcdefea,PB-Drahi_11-d1-HOM-ULO-42f4ae0c55,DA-Drahi_11-HOM-d1-7321c7595f,Drahi_11,codes/inst/inst2020/Drahi_11.csv,1,LOW_BATTERY,0.5,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,night;night;night;night;night,1598982432,DD-Drahi_11-d1-7d2fc9d678,771674900,1977429469,5_56,24,44,44,228b1b5632086f14,a67dba1613329233,c0ddfe2a4a4034a0,f29cda6ed405241d,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
50,SI-Drahi_11-d1-HOM-ULO-BHI-66ed2112b8,PB-Drahi_11-d1-HOM-ULO-42f4ae0c55,DA-Drahi_11-HOM-d1-7321c7595f,Drahi_11,codes/inst/inst2020/Drahi_11.csv,1,HIGH_BATTERY,2.0,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,night;night;night;night;night,1598982432,DD-Drahi_11-d1-7d2fc9d678,771674900,1977429469,5_56,24,44,44,228b1b5632086f14,a67dba1613329233,c0ddfe2a4a4034a0,f29cda6ed405241d,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
51,SI-Drahi_11-d1-HOM-UHI-BLO-245eea0fc0,PB-Drahi_11-d1-HOM-UHI-83c9c2ae5e,DA-Drahi_11-HOM-d1-7321c7595f,Drahi_11,codes/inst/inst2020/Drahi_11.csv,1,LOW_BATTERY,0.5,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,night;night;night;night;night,1598982432,DD-Drahi_11-d1-7d2fc9d678,613271204,1977429469,5_56,24,44,44,228b1b5632086f14,a67dba1613329233,c0ddfe2a4a4034a0,f29cda6ed405241d,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
52,SI-Drahi_11-d1-HOM-UHI-BHI-c21378bdc2,PB-Drahi_11-d1-HOM-UHI-83c9c2ae5e,DA-Drahi_11-HOM-d1-7321c7595f,Drahi_11,codes/inst/inst2020/Drahi_11.csv,1,HIGH_BATTERY,2.0,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,night;night;night;night;night,1598982432,DD-Drahi_11-d1-7d2fc9d678,613271204,1977429469,5_56,24,44,44,228b1b5632086f14,a67dba1613329233,c0ddfe2a4a4034a0,f29cda6ed405241d,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
53,SI-Drahi_11-d1-HET-ULO-BLO-5a1b08d243,PB-Drahi_11-d1-HET-ULO-3134366eb3,DA-Drahi_11-HET-d1-dee5169d02,Drahi_11,codes/inst/inst2020/Drahi_11.csv,1,LOW_BATTERY,0.5,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,midday;morning;morning;night;midday,1292760447,DD-Drahi_11-d1-7d2fc9d678,771674900,1977429469,5_56,24,44,44,228b1b5632086f14,a67dba1613329233,c0ddfe2a4a4034a0,f29cda6ed405241d,62ac6a10fc5577e4,59f7b6dd906e7394,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
54,SI-Drahi_11-d1-HET-ULO-BHI-58c22a6ed9,PB-Drahi_11-d1-HET-ULO-3134366eb3,DA-Drahi_11-HET-d1-dee5169d02,Drahi_11,codes/inst/inst2020/Drahi_11.csv,1,HIGH_BATTERY,2.0,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,midday;morning;morning;night;midday,1292760447,DD-Drahi_11-d1-7d2fc9d678,771674900,1977429469,5_56,24,44,44,228b1b5632086f14,a67dba1613329233,c0ddfe2a4a4034a0,f29cda6ed405241d,62ac6a10fc5577e4,59f7b6dd906e7394,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
55,SI-Drahi_11-d1-HET-UHI-BLO-35689e776d,PB-Drahi_11-d1-HET-UHI-9217eb9166,DA-Drahi_11-HET-d1-dee5169d02,Drahi_11,codes/inst/inst2020/Drahi_11.csv,1,LOW_BATTERY,0.5,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,midday;morning;morning;night;midday,1292760447,DD-Drahi_11-d1-7d2fc9d678,613271204,1977429469,5_56,24,44,44,228b1b5632086f14,a67dba1613329233,c0ddfe2a4a4034a0,f29cda6ed405241d,62ac6a10fc5577e4,59f7b6dd906e7394,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
56,SI-Drahi_11-d1-HET-UHI-BHI-e8d17aceb1,PB-Drahi_11-d1-HET-UHI-9217eb9166,DA-Drahi_11-HET-d1-dee5169d02,Drahi_11,codes/inst/inst2020/Drahi_11.csv,1,HIGH_BATTERY,2.0,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,midday;morning;morning;night;midday,1292760447,DD-Drahi_11-d1-7d2fc9d678,613271204,1977429469,5_56,24,44,44,228b1b5632086f14,a67dba1613329233,c0ddfe2a4a4034a0,f29cda6ed405241d,62ac6a10fc5577e4,59f7b6dd906e7394,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
57,SI-Drahi_11-d2-HOM-ULO-BLO-f66e53032d,PB-Drahi_11-d2-HOM-ULO-734e1c38a1,DA-Drahi_11-HOM-d2-f9dfa0c4cd,Drahi_11,codes/inst/inst2020/Drahi_11.csv,2,LOW_BATTERY,0.5,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,morning;morning;morning;morning;morning,1598981485,DD-Drahi_11-d2-77839eba22,771674900,1549203650,5_56,24,44,44,9e2176b889c3f6ba,5bb5e0d379bb20fa,c0ddfe2a4a4034a0,f29cda6ed405241d,4229a60dfd24cd45,6d085a00c3c9ff14,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
58,SI-Drahi_11-d2-HOM-ULO-BHI-e4429925bc,PB-Drahi_11-d2-HOM-ULO-734e1c38a1,DA-Drahi_11-HOM-d2-f9dfa0c4cd,Drahi_11,codes/inst/inst2020/Drahi_11.csv,2,HIGH_BATTERY,2.0,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,morning;morning;morning;morning;morning,1598981485,DD-Drahi_11-d2-77839eba22,771674900,1549203650,5_56,24,44,44,9e2176b889c3f6ba,5bb5e0d379bb20fa,c0ddfe2a4a4034a0,f29cda6ed405241d,4229a60dfd24cd45,6d085a00c3c9ff14,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
59,SI-Drahi_11-d2-HOM-UHI-BLO-646c68adab,PB-Drahi_11-d2-HOM-UHI-482d1f2acf,DA-Drahi_11-HOM-d2-f9dfa0c4cd,Drahi_11,codes/inst/inst2020/Drahi_11.csv,2,LOW_BATTERY,0.5,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,morning;morning;morning;morning;morning,1598981485,DD-Drahi_11-d2-77839eba22,613271204,1549203650,5_56,24,44,44,9e2176b889c3f6ba,5bb5e0d379bb20fa,c0ddfe2a4a4034a0,f29cda6ed405241d,4229a60dfd24cd45,6d085a00c3c9ff14,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
60,SI-Drahi_11-d2-HOM-UHI-BHI-caf13a7b13,PB-Drahi_11-d2-HOM-UHI-482d1f2acf,DA-Drahi_11-HOM-d2-f9dfa0c4cd,Drahi_11,codes/inst/inst2020/Drahi_11.csv,2,HIGH_BATTERY,2.0,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,morning;morning;morning;morning;morning,1598981485,DD-Drahi_11-d2-77839eba22,613271204,1549203650,5_56,24,44,44,9e2176b889c3f6ba,5bb5e0d379bb20fa,c0ddfe2a4a4034a0,f29cda6ed405241d,4229a60dfd24cd45,6d085a00c3c9ff14,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
61,SI-Drahi_11-d2-HET-ULO-BLO-7a709ddb78,PB-Drahi_11-d2-HET-ULO-f25a12bf73,DA-Drahi_11-HET-d2-7202ad7656,Drahi_11,codes/inst/inst2020/Drahi_11.csv,2,LOW_BATTERY,0.5,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,midday;morning;night;morning;midday,1292763288,DD-Drahi_11-d2-77839eba22,771674900,1549203650,5_56,24,44,44,9e2176b889c3f6ba,5bb5e0d379bb20fa,c0ddfe2a4a4034a0,f29cda6ed405241d,a40e7b359aac00a0,a5a059f6e22e8c14,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
62,SI-Drahi_11-d2-HET-ULO-BHI-6c2bd74825,PB-Drahi_11-d2-HET-ULO-f25a12bf73,DA-Drahi_11-HET-d2-7202ad7656,Drahi_11,codes/inst/inst2020/Drahi_11.csv,2,HIGH_BATTERY,2.0,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,midday;morning;night;morning;midday,1292763288,DD-Drahi_11-d2-77839eba22,771674900,1549203650,5_56,24,44,44,9e2176b889c3f6ba,5bb5e0d379bb20fa,c0ddfe2a4a4034a0,f29cda6ed405241d,a40e7b359aac00a0,a5a059f6e22e8c14,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
63,SI-Drahi_11-d2-HET-UHI-BLO-40f227aba9,PB-Drahi_11-d2-HET-UHI-e1499fa167,DA-Drahi_11-HET-d2-7202ad7656,Drahi_11,codes/inst/inst2020/Drahi_11.csv,2,LOW_BATTERY,0.5,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,midday;morning;night;morning;midday,1292763288,DD-Drahi_11-d2-77839eba22,613271204,1549203650,5_56,24,44,44,9e2176b889c3f6ba,5bb5e0d379bb20fa,c0ddfe2a4a4034a0,f29cda6ed405241d,a40e7b359aac00a0,a5a059f6e22e8c14,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
64,SI-Drahi_11-d2-HET-UHI-BHI-996485f61b,PB-Drahi_11-d2-HET-UHI-e1499fa167,DA-Drahi_11-HET-d2-7202ad7656,Drahi_11,codes/inst/inst2020/Drahi_11.csv,2,HIGH_BATTERY,2.0,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,midday;morning;night;morning;midday,1292763288,DD-Drahi_11-d2-77839eba22,613271204,1549203650,5_56,24,44,44,9e2176b889c3f6ba,5bb5e0d379bb20fa,c0ddfe2a4a4034a0,f29cda6ed405241d,a40e7b359aac00a0,a5a059f6e22e8c14,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
65,SI-Drahi_12-d1-HOM-ULO-BLO-14218af0ed,PB-Drahi_12-d1-HOM-ULO-60e05de704,DA-Drahi_12-HOM-d1-9c01675592,Drahi_12,codes/inst/inst2020/Drahi_12.csv,1,LOW_BATTERY,0.5,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,morning;morning;morning;morning;morning,862772168,DD-Drahi_12-d1-17a513070e,276387965,986390559,5_56,24,44,44,ea3298e39916e56d,b58f6371e58eca22,d83c35696275a392,83c6eff611def739,4229a60dfd24cd45,6d085a00c3c9ff14,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
66,SI-Drahi_12-d1-HOM-ULO-BHI-3823bd76d5,PB-Drahi_12-d1-HOM-ULO-60e05de704,DA-Drahi_12-HOM-d1-9c01675592,Drahi_12,codes/inst/inst2020/Drahi_12.csv,1,HIGH_BATTERY,2.0,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,morning;morning;morning;morning;morning,862772168,DD-Drahi_12-d1-17a513070e,276387965,986390559,5_56,24,44,44,ea3298e39916e56d,b58f6371e58eca22,d83c35696275a392,83c6eff611def739,4229a60dfd24cd45,6d085a00c3c9ff14,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
67,SI-Drahi_12-d1-HOM-UHI-BLO-5309022fad,PB-Drahi_12-d1-HOM-UHI-d0dd9294a2,DA-Drahi_12-HOM-d1-9c01675592,Drahi_12,codes/inst/inst2020/Drahi_12.csv,1,LOW_BATTERY,0.5,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,morning;morning;morning;morning;morning,862772168,DD-Drahi_12-d1-17a513070e,331972533,986390559,5_56,24,44,44,ea3298e39916e56d,b58f6371e58eca22,d83c35696275a392,83c6eff611def739,4229a60dfd24cd45,6d085a00c3c9ff14,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
68,SI-Drahi_12-d1-HOM-UHI-BHI-33de379514,PB-Drahi_12-d1-HOM-UHI-d0dd9294a2,DA-Drahi_12-HOM-d1-9c01675592,Drahi_12,codes/inst/inst2020/Drahi_12.csv,1,HIGH_BATTERY,2.0,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,morning;morning;morning;morning;morning,862772168,DD-Drahi_12-d1-17a513070e,331972533,986390559,5_56,24,44,44,ea3298e39916e56d,b58f6371e58eca22,d83c35696275a392,83c6eff611def739,4229a60dfd24cd45,6d085a00c3c9ff14,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
69,SI-Drahi_12-d1-HET-ULO-BLO-4d89dc9948,PB-Drahi_12-d1-HET-ULO-1df672c247,DA-Drahi_12-HET-d1-94b89d0900,Drahi_12,codes/inst/inst2020/Drahi_12.csv,1,LOW_BATTERY,0.5,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,midday;night;midday;night;morning,1022663734,DD-Drahi_12-d1-17a513070e,276387965,986390559,5_56,24,44,44,ea3298e39916e56d,b58f6371e58eca22,d83c35696275a392,83c6eff611def739,c7c84eccdef71559,c496cc60da6c409c,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
70,SI-Drahi_12-d1-HET-ULO-BHI-29611f42ee,PB-Drahi_12-d1-HET-ULO-1df672c247,DA-Drahi_12-HET-d1-94b89d0900,Drahi_12,codes/inst/inst2020/Drahi_12.csv,1,HIGH_BATTERY,2.0,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,midday;night;midday;night;morning,1022663734,DD-Drahi_12-d1-17a513070e,276387965,986390559,5_56,24,44,44,ea3298e39916e56d,b58f6371e58eca22,d83c35696275a392,83c6eff611def739,c7c84eccdef71559,c496cc60da6c409c,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
71,SI-Drahi_12-d1-HET-UHI-BLO-65dbe552e9,PB-Drahi_12-d1-HET-UHI-b668736367,DA-Drahi_12-HET-d1-94b89d0900,Drahi_12,codes/inst/inst2020/Drahi_12.csv,1,LOW_BATTERY,0.5,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,midday;night;midday;night;morning,1022663734,DD-Drahi_12-d1-17a513070e,331972533,986390559,5_56,24,44,44,ea3298e39916e56d,b58f6371e58eca22,d83c35696275a392,83c6eff611def739,c7c84eccdef71559,c496cc60da6c409c,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
72,SI-Drahi_12-d1-HET-UHI-BHI-fdf881c5c7,PB-Drahi_12-d1-HET-UHI-b668736367,DA-Drahi_12-HET-d1-94b89d0900,Drahi_12,codes/inst/inst2020/Drahi_12.csv,1,HIGH_BATTERY,2.0,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,midday;night;midday;night;morning,1022663734,DD-Drahi_12-d1-17a513070e,331972533,986390559,5_56,24,44,44,ea3298e39916e56d,b58f6371e58eca22,d83c35696275a392,83c6eff611def739,c7c84eccdef71559,c496cc60da6c409c,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
73,SI-Drahi_12-d2-HOM-ULO-BLO-4a6d27396c,PB-Drahi_12-d2-HOM-ULO-87f48c6dbc,DA-Drahi_12-HOM-d2-e6cc3bed93,Drahi_12,codes/inst/inst2020/Drahi_12.csv,2,LOW_BATTERY,0.5,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,night;night;night;night;night,862773115,DD-Drahi_12-d2-b9d4fc942a,276387965,1161129220,5_56,24,44,44,797566076e8c30ca,fb2fc317b3ce783a,d83c35696275a392,83c6eff611def739,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
74,SI-Drahi_12-d2-HOM-ULO-BHI-1fa6bc8487,PB-Drahi_12-d2-HOM-ULO-87f48c6dbc,DA-Drahi_12-HOM-d2-e6cc3bed93,Drahi_12,codes/inst/inst2020/Drahi_12.csv,2,HIGH_BATTERY,2.0,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,night;night;night;night;night,862773115,DD-Drahi_12-d2-b9d4fc942a,276387965,1161129220,5_56,24,44,44,797566076e8c30ca,fb2fc317b3ce783a,d83c35696275a392,83c6eff611def739,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
75,SI-Drahi_12-d2-HOM-UHI-BLO-ad71799ce1,PB-Drahi_12-d2-HOM-UHI-e5cd8d7a8a,DA-Drahi_12-HOM-d2-e6cc3bed93,Drahi_12,codes/inst/inst2020/Drahi_12.csv,2,LOW_BATTERY,0.5,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,night;night;night;night;night,862773115,DD-Drahi_12-d2-b9d4fc942a,331972533,1161129220,5_56,24,44,44,797566076e8c30ca,fb2fc317b3ce783a,d83c35696275a392,83c6eff611def739,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
76,SI-Drahi_12-d2-HOM-UHI-BHI-81397fc4f9,PB-Drahi_12-d2-HOM-UHI-e5cd8d7a8a,DA-Drahi_12-HOM-d2-e6cc3bed93,Drahi_12,codes/inst/inst2020/Drahi_12.csv,2,HIGH_BATTERY,2.0,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,night;night;night;night;night,862773115,DD-Drahi_12-d2-b9d4fc942a,331972533,1161129220,5_56,24,44,44,797566076e8c30ca,fb2fc317b3ce783a,d83c35696275a392,83c6eff611def739,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
77,SI-Drahi_12-d2-HET-ULO-BLO-51cf15767d,PB-Drahi_12-d2-HET-ULO-4c94167efc,DA-Drahi_12-HET-d2-0d9a7e9715,Drahi_12,codes/inst/inst2020/Drahi_12.csv,2,LOW_BATTERY,0.5,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,midday;morning;night;midday;morning,1022660893,DD-Drahi_12-d2-b9d4fc942a,276387965,1161129220,5_56,24,44,44,797566076e8c30ca,fb2fc317b3ce783a,d83c35696275a392,83c6eff611def739,10dc75cfa641381e,7d79d54f98997f6a,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
78,SI-Drahi_12-d2-HET-ULO-BHI-23b3d4bb1e,PB-Drahi_12-d2-HET-ULO-4c94167efc,DA-Drahi_12-HET-d2-0d9a7e9715,Drahi_12,codes/inst/inst2020/Drahi_12.csv,2,HIGH_BATTERY,2.0,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,midday;morning;night;midday;morning,1022660893,DD-Drahi_12-d2-b9d4fc942a,276387965,1161129220,5_56,24,44,44,797566076e8c30ca,fb2fc317b3ce783a,d83c35696275a392,83c6eff611def739,10dc75cfa641381e,7d79d54f98997f6a,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
79,SI-Drahi_12-d2-HET-UHI-BLO-1a7f78e100,PB-Drahi_12-d2-HET-UHI-b0052dd3a8,DA-Drahi_12-HET-d2-0d9a7e9715,Drahi_12,codes/inst/inst2020/Drahi_12.csv,2,LOW_BATTERY,0.5,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,midday;morning;night;midday;morning,1022660893,DD-Drahi_12-d2-b9d4fc942a,331972533,1161129220,5_56,24,44,44,797566076e8c30ca,fb2fc317b3ce783a,d83c35696275a392,83c6eff611def739,10dc75cfa641381e,7d79d54f98997f6a,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
80,SI-Drahi_12-d2-HET-UHI-BHI-333eee148b,PB-Drahi_12-d2-HET-UHI-b0052dd3a8,DA-Drahi_12-HET-d2-0d9a7e9715,Drahi_12,codes/inst/inst2020/Drahi_12.csv,2,HIGH_BATTERY,2.0,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,midday;morning;night;midday;morning,1022660893,DD-Drahi_12-d2-b9d4fc942a,331972533,1161129220,5_56,24,44,44,797566076e8c30ca,fb2fc317b3ce783a,d83c35696275a392,83c6eff611def739,10dc75cfa641381e,7d79d54f98997f6a,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
81,SI-Drahi_13-d1-HOM-ULO-BLO-396285504b,PB-Drahi_13-d1-HOM-ULO-f81a34d432,DA-Drahi_13-HOM-d1-365240f683,Drahi_13,codes/inst/inst2020/Drahi_13.csv,1,LOW_BATTERY,0.5,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,morning;morning;morning;morning;morning,925739698,DD-Drahi_13-d1-037450dfb9,1755028548,778369159,5_56,24,44,44,979292de25a80947,c7df5f77267f7ded,f4d7040faf2cfae9,05833c065f0808a9,4229a60dfd24cd45,6d085a00c3c9ff14,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
82,SI-Drahi_13-d1-HOM-ULO-BHI-938763b4fc,PB-Drahi_13-d1-HOM-ULO-f81a34d432,DA-Drahi_13-HOM-d1-365240f683,Drahi_13,codes/inst/inst2020/Drahi_13.csv,1,HIGH_BATTERY,2.0,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,morning;morning;morning;morning;morning,925739698,DD-Drahi_13-d1-037450dfb9,1755028548,778369159,5_56,24,44,44,979292de25a80947,c7df5f77267f7ded,f4d7040faf2cfae9,05833c065f0808a9,4229a60dfd24cd45,6d085a00c3c9ff14,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
